timestamp,ear,blink_count,closure_duration,phone_detected,distraction_duration,label
1774092551.47,0.0,0,0.0,0,0.0,0
1774092551.54,0.0,0,0.0,0,0.0,0
1774092552.18,0.33082369984599647,0,0,0,0,0
1774092552.22,0.33082369984599647,0,0,0,0,0
1774092552.25,0.33082369984599647,0,0,0,0,0
1774092552.29,0.32908866687586297,0,0,0,0,0
1774092552.31,0.32908866687586297,0,0,0,0,0
1774092552.34,0.32908866687586297,0,0,0,0,0
1774092552.46,0.3203780102446403,0,0,0,0,0
1774092552.55,0.3203780102446403,0,0,0,0,0
1774092552.66,0.3203780102446403,0,0,0,0,0
1774092553.14,0.33716344523611363,0,0,0,0,0
1774092553.17,0.33716344523611363,0,0,0,0,0
1774092553.19,0.33716344523611363,0,0,0,0,0
1774092553.21,0.33981862974815924,0,0,0,0,0
1774092553.23,0.33981862974815924,0,0,0,0,0
1774092553.27,0.33981862974815924,0,0,0,0,0
1774092553.36,0.3380636707427793,0,0,0,0,0
1774092553.46,0.3380636707427793,0,0,0,0,0
1774092553.56,0.3380636707427793,0,0,0,0,0
1774092553.67,0.30771921966709825,0,0,0,0,0
1774092553.76,0.30771921966709825,0,0,0,0,0
1774092553.86,0.30771921966709825,0,0,0,0,0
1774092554.15,0.31944170509535996,0,0,0,0,0
1774092554.17,0.31944170509535996,0,0,0,0,0
1774092554.19,0.31944170509535996,0,0,0,0,0
1774092554.27,0.30861070864287055,0,0,0,0,0
1774092554.36,0.30861070864287055,0,0,0,0,0
1774092554.46,0.30861070864287055,0,0,0,0,0
1774092554.56,0.3171958208296953,0,0,0,0,0
1774092554.66,0.3171958208296953,0,0,0,0,0
1774092554.76,0.3171958208296953,0,0,0,0,0
1774092554.86,0.34422867099239784,0,0,0,0,0
1774092554.96,0.34422867099239784,0,0,0,0,0
1774092555.06,0.34422867099239784,0,0,0,0,0
1774092555.35,0.3361735601431495,0,0,0,0,0
1774092555.38,0.3361735601431495,0,0,0,0,0
1774092555.41,0.3361735601431495,0,0,0,0,0
1774092555.47,0.3547084165944255,0,0,0,0,0
1774092555.56,0.3547084165944255,0,0,0,0,0
1774092555.66,0.3547084165944255,0,0,0,0,0
1774092555.79,0.28709566970947836,0,0,0,0,0
1774092555.87,0.28709566970947836,0,0,0,0,0
1774092555.96,0.28709566970947836,0,0,0,0,0
1774092556.07,0.3185741977425858,0,0,0,0,0
1774092556.16,0.3185741977425858,0,0,0,0,0
1774092556.26,0.3185741977425858,0,0,0,0,0
1774092556.56,0.19088236720451973,0,0.0,0,0,0
1774092556.58,0.19088236720451973,0,0.0,0,0,0
1774092556.6,0.19088236720451973,0,0.0,0,0,0
1774092556.67,0.3086027057498164,0,0,0,0,0
1774092556.76,0.3086027057498164,0,0,0,0,0
1774092556.86,0.3086027057498164,0,0,0,0,0
1774092556.97,0.3043139328708173,0,0,0,0,0
1774092557.06,0.3043139328708173,0,0,0,0,0
1774092557.16,0.3043139328708173,0,0,0,0,0
1774092557.27,0.21859775926890604,0,0,0,0,0
1774092557.37,0.21859775926890604,0,0,0,0,0
1774092557.46,0.21859775926890604,0,0,0,0,0
1774092557.75,0.2308789267971964,0,0,0,0,0
1774092557.78,0.2308789267971964,0,0,0,0,0
1774092557.79,0.2308789267971964,0,0,0,0,0
1774092557.87,0.21104769027053566,0,0,0,0,0
1774092557.97,0.21104769027053566,0,0,0,0,0
1774092558.06,0.21104769027053566,0,0,0,0,0
1774092558.17,0.19471476360921894,0,0.0,0,0,0
1774092558.26,0.19471476360921894,0,0.0,0,0,0
1774092558.36,0.19471476360921894,0,0.0,0,0,0
1774092558.47,0.24625439083467915,0,0,0,0,0
1774092558.56,0.24625439083467915,0,0,0,0,0
1774092558.66,0.24625439083467915,0,0,0,0,0
1774092558.95,0.22864347171376492,0,0,0,0,0
1774092558.97,0.22864347171376492,0,0,0,0,0
1774092558.99,0.22864347171376492,0,0,0,0,0
1774092559.07,0.21322120042705756,0,0,0,0,0
1774092559.16,0.21322120042705756,0,0,0,0,0
1774092559.26,0.21322120042705756,0,0,0,0,0
1774092559.37,0.2051817875833689,0,0,0,0,0
1774092559.47,0.2051817875833689,0,0,0,0,0
1774092559.57,0.2051817875833689,0,0,0,0,0
1774092559.68,0.19996671297556817,0,0.0,0,0,0
1774092559.77,0.19996671297556817,0,0.0,0,0,0
1774092559.87,0.19996671297556817,0,0.0,0,0,0
1774092560.15,0.2252873677709411,0,0,0,0,0
1774092560.17,0.2252873677709411,0,0,0,0,0
1774092560.2,0.2252873677709411,0,0,0,0,0
1774092560.28,0.2188514656670058,0,0,0,0,0
1774092562.33,0.2188514656670058,0,0,0,0,0
1774092564.38,0.2188514656670058,0,0,0,0,0
1774092566.44,0.21344285239770722,0,0,0,0,0
1774092568.48,0.21344285239770722,0,0,0,0,0
1774092900.69,0.0,0,0.0,0,0.0,0
1774092900.79,0.0,0,0.0,0,0.0,0
1774092900.91,0.31612179052990763,0,0,0,0,0
1774092900.99,0.31612179052990763,0,0,0,0,0
1774092901.09,0.31612179052990763,0,0,0,0,0
1774092901.2,0.34275722041298934,0,0,0,0,0
1774092901.29,0.34275722041298934,0,0,0,0,0
1774092901.39,0.34275722041298934,0,0,0,0,0
1774092901.5,0.3195594414863848,0,0,0,0,0
1774092901.59,0.3195594414863848,0,0,0,0,0
1774092901.69,0.3195594414863848,0,0,0,0,0
1774092902.12,0.3324884349039211,0,0,0,0,0
1774092902.14,0.3324884349039211,0,0,0,0,0
1774092902.16,0.3324884349039211,0,0,0,0,0
1774092902.18,0.2872448328964785,0,0,0,0,0
1774092902.2,0.2872448328964785,0,0,0,0,0
1774092902.3,0.2872448328964785,0,0,0,0,0
1774092902.4,0.33040859886259255,0,0,0,0,0
1774092902.5,0.33040859886259255,0,0,0,0,0
1774092902.59,0.33040859886259255,0,0,0,0,0
1774092902.7,0.32090048599718146,0,0,0,0,0
1774092902.8,0.32090048599718146,0,0,0,0,0
1774092902.9,0.32090048599718146,0,0,0,0,0
1774092903.19,0.27924397216507824,0,0,0,0,0
1774092903.21,0.27924397216507824,0,0,0,0,0
1774092903.23,0.27924397216507824,0,0,0,0,0
1774092903.3,0.2605060916299868,0,0,0,0,0
1774092903.39,0.2605060916299868,0,0,0,0,0
1774092903.49,0.2605060916299868,0,0,0,0,0
1774092903.6,0.25078443957291235,0,0,0,0,0
1774092903.69,0.25078443957291235,0,0,0,0,0
1774092903.8,0.25078443957291235,0,0,0,0,0
1774092903.9,0.2350173514188782,0,0,0,0,0
1774092904.0,0.2350173514188782,0,0,0,0,0
